Probe ID,Latitude,Longitude
1,147.5591,-35.4932
2,147.5305,-35.4353
3,147.5689,-35.4341
4,147.6,-35.4269
5,147.6041,-35.4193
6,147.4572,-35.3898
7,147.5662,-35.3939
8,147.3439,-35.3163
9,147.43633,-35.31982
10,147.5348,-35.324
11,147.429,-35.272
12,147.485,-35.2275
13,147.5333,-35.2389
14,147.4974,-35.1249
