"DateTime","moisture","StartDepth","EndDepth","default_calc","DUL","PWP","rescaled","moisture_perc"
2000-03-19 23:59:59,NA,"030","060",NA,0.3732375,0.2538676,NA,NA
2000-03-19 23:59:59,NA,"060","100",NA,0.3644299,0.2577211,NA,NA
2000-03-19 23:59:59,NA,"100","200",NA,0.3592504,0.2509741,NA,NA
2000-03-20 23:59:59,NA,"015","030",NA,0.3593337,0.2249425,NA,NA
2000-03-20 23:59:59,NA,"030","060",NA,0.3732375,0.2538676,NA,NA
2000-03-20 23:59:59,NA,"060","100",NA,0.3644299,0.2577211,NA,NA
2000-03-20 23:59:59,NA,"100","200",NA,0.3592504,0.2509741,NA,NA
2000-03-21 23:59:59,NA,"015","030",NA,0.3593337,0.2249425,NA,NA
2000-03-21 23:59:59,NA,"030","060",NA,0.3732375,0.2538676,NA,NA
2000-03-21 23:59:59,NA,"060","100",NA,0.3644299,0.2577211,NA,NA
2000-03-21 23:59:59,NA,"100","200",NA,0.3592504,0.2509741,NA,NA
2000-03-22 23:59:59,NA,"015","030",NA,0.3593337,0.2249425,NA,NA
2000-03-22 23:59:59,NA,"030","060",NA,0.3732375,0.2538676,NA,NA
