Probe ID,Latitude,Longitude
2,-14.160,131.390
3,-31.380,115.710
6,-17.120,145.630
7,-34.400,147.530
8,-41.67,147.91
10,-19.88,146.54
11,-35.01,146.3
15,-37.829,142.089
18,-35.769,142.973
19,-35.826,143.004
21,-28.809,148.765
23,-24.812,149.801
25,-24.815,149.794
26,-24.811,149.79
27,-34.471,148.697
28,-13.179,130.794
