Date,SM,Start Depth,End Depth,Site_ID,Sensor
7/26/2006,26.651,30,60,1,2
7/26/2006,26.651,60,100,1,3
7/27/2006,24.94715,15,30,1,1
7/27/2006,26.6022,30,60,1,2
7/27/2006,26.6022,60,100,1,3
7/28/2006,25.0335,15,30,1,1
7/28/2006,26.6456,30,60,1,2
7/28/2006,26.6456,60,100,1,3
7/29/2006,25.0077,15,30,1,1
7/29/2006,26.5735,30,60,1,2
7/29/2006,26.5735,60,100,1,3
7/30/2006,24.91175,15,30,1,1
7/30/2006,26.5515,30,60,1,2
7/30/2006,26.5515,60,100,1,3
7/31/2006,24.78805,15,30,1,1
7/31/2006,26.5043,30,60,1,2
7/31/2006,26.5043,60,100,1,3
8/1/2006,24.75395,15,30,1,1
8/1/2006,26.6442,30,60,1,2
8/1/2006,26.6442,60,100,1,3
8/2/2006,24.66965,15,30,1,1
8/2/2006,26.655,30,60,1,2
8/2/2006,26.655,60,100,1,3
8/3/2006,24.64855,15,30,1,1
8/3/2006,26.7117,30,60,1,2
8/3/2006,26.7117,60,100,1,3
8/4/2006,24.63035,15,30,1,1
8/4/2006,26.741,30,60,1,2
8/4/2006,26.741,60,100,1,3
8/5/2006,24.5739,15,30,1,1
8/5/2006,26.8032,30,60,1,2
8/5/2006,26.8032,60,100,1,3
8/6/2006,24.4453,15,30,1,1
8/6/2006,26.7992,30,60,1,2
8/6/2006,26.7992,60,100,1,3
8/7/2006,24.27635,15,30,1,1
8/7/2006,26.6822,30,60,1,2
8/7/2006,26.6822,60,100,1,3
8/8/2006,24.18085,15,30,1,1
8/8/2006,26.6212,30,60,1,2
8/8/2006,26.6212,60,100,1,3
8/9/2006,24.1375,15,30,1,1
8/9/2006,26.6601,30,60,1,2
8/9/2006,26.6601,60,100,1,3
8/10/2006,24.097,15,30,1,1
8/10/2006,26.7188,30,60,1,2
8/10/2006,26.7188,60,100,1,3
8/11/2006,24.11665,15,30,1,1
8/11/2006,26.8751,30,60,1,2
8/11/2006,26.8751,60,100,1,3
8/12/2006,24.00095,15,30,1,1
8/12/2006,26.8012,30,60,1,2
8/12/2006,26.8012,60,100,1,3
8/13/2006,23.91275,15,30,1,1
8/13/2006,26.7267,30,60,1,2
8/13/2006,26.7267,60,100,1,3
8/14/2006,23.84355,15,30,1,1
8/14/2006,26.6421,30,60,1,2
