Probe ID,Latitude,Longitude
1,-36.293,148.9706
2,-35.3088,149.2
3,-34.6299,148.0365
4,-33.9383,147.1962
5,-34.6584,143.5486
6,-34.5471,144.867
7,-34.249,146.07
