"DateTime","moisture","StartDepth","EndDepth","default_calc","DUL","PWP","rescaled","moisture_perc"
2000-01-01 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-01 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-01 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-02 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-02 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-02 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-03 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-03 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-03 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-04 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-04 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-04 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-05 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-05 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-05 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-06 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-06 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-06 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-07 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-07 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-07 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-08 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-08 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-08 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-09 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-09 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-09 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-10 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-10 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-10 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
2000-01-11 23:59:59,NA,"015","030",NA,0.3645384,0.2241561,NA,NA
2000-01-11 23:59:59,NA,"030","060",NA,0.3887516,0.2386709,NA,NA
2000-01-11 23:59:59,NA,"060","100",NA,0.3851311,0.2414412,NA,NA
