Site_ID,Sensor,BDW,CLY,SLT,SND,SOC
1,1,1.127059,23,17,59.5,3.19
1,2,1.225869,42,15,43,1.03
1,3,1.275333,45,15,40,0.6
2,1,1.2356585,20,17,63,2.27
2,2,1.367366,32,16,52,0.71
2,3,1.406587,36,15,48,0.49
3,1,1.330238,21,16.5,62.5,2.32
3,2,1.377643,37,15,48,0.85
3,3,1.415257,38,15,47,0.53
4,1,1.273253,19.5,15,66,2.275
4,2,1.344819,32,14,54,0.91
4,3,1.381751,35,14,51,0.64
5,1,1.4136405,21.5,18.5,60,1.76
5,2,1.421545,35,16,49,0.74
5,3,1.454584,39,16,45,0.68
